identity,label,german_train_count,english_train_count,total_real_train_count,synthetic_needed_to_median,synthetic_needed_to_mean,synthetic_needed_recommended_50
id0008,5,2,1,3,28,35,47
id0036,21,2,1,3,28,35,47
id0053,32,2,7,9,22,29,41
id0025,16,3,6,9,22,29,41
id0011,8,2,7,9,22,29,41
id0032,20,5,5,10,21,28,40
id0023,15,8,2,10,21,28,40
id0018,12,7,5,12,19,26,38
id0046,28,12,2,14,17,24,36
id0038,22,14,2,16,15,22,34
id0002,1,4,13,17,14,21,33
id0045,27,13,6,19,12,19,31
id0056,34,16,4,20,11,18,30
id0012,9,19,8,27,4,11,23
id0042,24,10,18,28,3,10,22
id0009,6,11,17,28,3,10,22
id0013,10,27,1,28,3,10,22
id0005,3,8,22,30,1,8,20
id0048,30,5,27,32,0,6,18
id0006,4,33,1,34,0,4,16
id0047,29,13,22,35,0,3,15
id0022,14,16,19,35,0,3,15
id0004,2,6,30,36,0,2,14
id0001,0,31,7,38,0,0,12
id0010,7,26,16,42,0,0,8
id0020,13,11,37,48,0,0,2
id0055,33,61,20,81,0,0,0
id0052,31,9,53,62,0,0,0
id0028,18,49,1,50,0,0,0
id0044,26,38,66,104,0,0,0
id0043,25,9,45,54,0,0,0
id0041,23,51,34,85,0,0,0
id0030,19,51,23,74,0,0,0
id0027,17,2,50,52,0,0,0
id0016,11,34,19,53,0,0,0
id0057,35,73,82,155,0,0,0
